Name	Region	Year	Fixed Acidity	Volatile Acidity	Citric Acid	Residual Sugar	Producer	Chlorides	Free Sulfur Dioxide	Total Sulfur Dioxide	Density	pH	Sulphates	Alcohol	Quality
Adega de Peges Colheita Seleccionada 2013	Regional Pennsula de Setbal	2013	7.2	0.39	0.63	11	Cooperativa Agrcola de Santo Isidro de Peges, CRL	0.044	55	156	0.9974	3.09	0.44	8.7	6
Adega de Peges Colheita Seleccionada 2014	Regional Pennsula de Setbal	2014	6.8	0.25	0.31	13.3	Cooperativa Agrcola de Santo Isidro de Peges, CRL	0.05	69	202	0.9972	3.22	0.48	9.7	6
Adega de Peges Colheita Seleccionada 2015	Regional Pennsula de Setbal	2015	7.1	0.43	0.61	11.8	Cooperativa Agrcola de Santo Isidro de Peges, CRL	0.045	54	155	0.9974	3.11	0.45	8.7	5
Adega de Peges Colheita Seleccionada 2016	Regional Pennsula de Setbal	2016	7.1	0.44	0.62	11.8	Cooperativa Agrcola de Santo Isidro de Peges, CRL	0.044	52	152	0.9975	3.12	0.46	8.7	6
Adega de Peges Colheita Seleccionada 2017	Regional Pennsula de Setbal	2017	7.2	0.39	0.63	11	Cooperativa Agrcola de Santo Isidro de Peges, CRL	0.044	55	156	0.9974	3.09	0.44	8.7	6
Adega de Peges Syrah 2005	Regional Pennsula de Setbal	2005	6.1	0.27	0.43	7.5	Cooperativa Agrcola de Santo Isidro de Peges, CRL	0.049	65	243	0.9957	3.12	0.47	9	5
Adega de Peges Syrah 2006	Regional Pennsula de Setbal	2006	6.9	0.24	0.33	1.7	Cooperativa Agrcola de Santo Isidro de Peges, CRL	0.035	47	136	0.99	3.26	0.4	12.6	7
Adega de Peges Touriga Nacional 2004	Regional Pennsula de Setbal	2004	6.9	0.21	0.33	1.8	Cooperativa Agrcola de Santo Isidro de Peges, CRL	0.034	48	136	0.9899	3.25	0.41	12.6	7
Adega de Peges Touriga Nacional 2008	Regional Pennsula de Setbal	2008	7.5	0.17	0.32	1.7	Cooperativa Agrcola de Santo Isidro de Peges, CRL	0.04	51	148	0.9916	3.21	0.44	11.5	7
Adega de Peges Trincadeira 2005	Regional Pennsula de Setbal	2005	7.1	0.26	0.29	12.4	Cooperativa Agrcola de Santo Isidro de Peges, CRL	0.044	62	240	0.9969	3.04	0.42	9.2	6
Adega de Peges Verdelho 2014	Regional Pennsula de Setbal	2014	6	0.34	0.66	15.9	Cooperativa Agrcola de Santo Isidro de Peges, CRL	0.046	26	164	0.9979	3.14	0.5	8.8	6
Adega de Vila Real 2013	DOC Douro	2013	8.6	0.265	0.36	1.2	Adega de Vila Real	0.034	15	80	0.9913	2.95	0.36	11.4	7
Adega de Vila Real 2014	DOC Douro	2014	9.8	0.36	0.46	10.5	Adega de Vila Real	0.038	4	83	0.9956	2.89	0.3	10.1	4
Adega de Vila Real 2015	DOC Douro	2015	6	0.34	0.66	15.9	Adega de Vila Real	0.046	26	164	0.9979	3.14	0.5	8.8	6
Adega de Vila Real 2016	DOC Douro	2016	7.4	0.25	0.37	13.5	Adega de Vila Real	0.06	52	192	0.9975	3	0.44	9.1	5
Adega de Vila Real 2017	DOC Douro	2017	7.1	0.12	0.32	9.6	Adega de Vila Real	0.054	64	162	0.9962	3.4	0.41	9.4	5
Adega de Vila Real Grande Reserva 2007	DOC Douro	2007	6	0.21	0.24	12.1	Adega de Vila Real	0.05	55	164	0.997	3.34	0.39	9.4	5
Adega de Vila Real Grande Reserva 2008	DOC Douro	2008	7.5	0.305	0.4	18.9	Adega de Vila Real	0.059	44	170	1	2.99	0.46	9	5
Adega de Vila Real Grande Reserva 2009	DOC Douro	2009	7.4	0.25	0.37	13.5	Adega de Vila Real	0.06	52	192	0.9975	3	0.44	9.1	5
Adega de Vila Real Grande Reserva 2011	DOC Douro	2011	7.3	0.13	0.32	14.4	Adega de Vila Real	0.051	34	109	0.9974	3.2	0.35	9.2	6
Adega de Vila Real Grande Reserva 2011	DOC Douro	2011	7.1	0.12	0.32	9.6	Adega de Vila Real	0.054	64	162	0.9962	3.4	0.41	9.4	5
Adega de Vila Real Grande Reserva 2012	DOC Douro	2012	7.1	0.23	0.35	16.5	Adega de Vila Real	0.04	60	171	0.999	3.16	0.59	9.1	6
Adega de Vila Real Grande Reserva 2013	DOC Douro	2013	7.1	0.23	0.35	16.5	Adega de Vila Real	0.04	60	171	0.999	3.16	0.59	9.1	6
Adega de Vila Real Grande Reserva 2013	DOC Douro	2013	6.9	0.33	0.28	1.3	Adega de Vila Real	0.051	37	187	0.9927	3.27	0.6	10.3	5
Adega de Vila Real Grande Reserva 2017	DOC Douro	2017	6.5	0.17	0.54	8.5	Adega de Vila Real	0.082	64	163	0.9959	2.89	0.39	8.8	6
Adega de Vila Real Malvasia Fina 2016	DOC Douro	2016	7.2	0.27	0.46	18.75	Adega de Vila Real	0.052	45	255	1	3.04	0.52	8.9	5
Adega de Vila Real Reserva 2010	DOC Douro	2010	7.2	0.31	0.5	13.3	Adega de Vila Real	0.056	68	195	0.9982	3.01	0.47	9.2	5
Adega de Vila Real Reserva 2010	DOC Douro	2010	6.7	0.41	0.34	9.2	Adega de Vila Real	0.049	29	150	0.9968	3.22	0.51	9.1	5
Adega de Vila Real Reserva 2011	DOC Douro	2011	6.7	0.41	0.34	9.2	Adega de Vila Real	0.049	29	150	0.9968	3.22	0.51	9.1	5
Adega de Vila Real Reserva 2012	DOC Douro	2012	5.5	0.485	0	1.5	Adega de Vila Real	0.065	8	103	0.994	3.63	0.4	9.7	4
Adega de Vila Real Reserva 2013	DOC Douro	2013	6	0.31	0.24	3.3	Adega de Vila Real	0.041	25	143	0.9914	3.31	0.44	11.3	6
Adega de Vila Real Reserva 2015	DOC Douro	2015	7	0.14	0.4	1.7	Adega de Vila Real	0.035	16	85	0.9911	3.19	0.42	11.8	6
Adega de Vila Real Vinha dos Altos 2012	DOC Douro	2012	7.2	0.31	0.5	13.3	Adega de Vila Real	0.056	68	195	0.9982	3.01	0.47	9.2	5
Adega do Presidente Adamado	DOC Vinhos Verdes		7.3	0.32	0.48	13.3	Caves Campelo S.A.	0.06	57	196	0.9982	3.04	0.5	9.2	5
Adega Me Alvarinho 2012	Regional Lisboa	2012	5.9	0.36	0.04	5.7	Adega Me - Sociedade Agrcola, Lda	0.046	21	87	0.9934	3.22	0.51	10.2	5
Adega Me Alvarinho 2014	Regional Lisboa	2014	7.8	0.24	0.32	12.2	Adega Me - Sociedade Agrcola, Lda	0.054	42	138	0.9984	3.01	0.54	8.8	5
Adega Me Cabernet Sauvignon 2012	Regional Lisboa	2012	7.4	0.16	0.31	6.85	Adega Me - Sociedade Agrcola, Lda	0.059	31	131	0.9952	3.29	0.34	9.7	5
Adega Me Cabernet Sauvignon 2013	Regional Lisboa	2013	6.9	0.19	0.28	5	Adega Me - Sociedade Agrcola, Lda	0.058	14	146	0.9952	3.29	0.36	9.1	6
Adega Me Chardonnay 2012	Regional Lisboa	2012	6.4	0.13	0.47	1.6	Adega Me - Sociedade Agrcola, Lda	0.092	40	158	0.9928	3.21	0.36	9.8	6
Adega Me Merlot 2012	Regional Lisboa	2012	6.7	0.19	0.36	1.1	Adega Me - Sociedade Agrcola, Lda	0.026	63	143	0.9912	3.27	0.48	11	6
Adega Me Merlot 2013	Regional Lisboa	2013	7.4	0.39	0.23	7	Adega Me - Sociedade Agrcola, Lda	0.033	29	126	0.994	3.14	0.42	10.5	5
Adega Me Pinot Noir 2013	Regional Lisboa	2013	6.5	0.24	0.32	7.6	Adega Me - Sociedade Agrcola, Lda	0.038	48	203	0.9958	3.45	0.54	9.7	7
Adega Me Riesling 2014	Regional Lisboa	2014	6.1	0.3	0.56	2.8	Adega Me - Sociedade Agrcola, Lda	0.044	47	179	0.9924	3.3	0.57	10.9	7
Adega Me Sauvignon Blanc 2013	Regional Lisboa	2013	6.1	0.3	0.56	2.7	Adega Me - Sociedade Agrcola, Lda	0.046	46	184	0.9924	3.31	0.57	10.9	6
Adega Me Touriga Nacional 2013	Regional Lisboa	2013	5.7	0.26	0.25	10.4	Adega Me - Sociedade Agrcola, Lda	0.02	7	57	0.994	3.39	0.37	10.6	5
Adega Me Viognier 2012	Regional Lisboa	2012	6.5	0.24	0.32	7.6	Adega Me - Sociedade Agrcola, Lda	0.038	48	203	0.9958	3.45	0.54	9.7	7
Adega Me Viosinho 2012	Regional Lisboa	2012	6.5	0.425	0.4	13.1	Adega Me - Sociedade Agrcola, Lda	0.038	59	241	0.9979	3.23	0.57	9	5
Adega Me Viosinho 2014	Regional Lisboa	2014	6.6	0.24	0.27	15.8	Adega Me - Sociedade Agrcola, Lda	0.035	46	188	0.9982	3.24	0.51	9.2	5
Adega Mayor Seleo 2016	Regional Alentejo	2016	6.8	0.27	0.22	8.1	Adega Mayor	0.034	55	203	0.9961	3.19	0.52	8.9	5
Adega Mayor Touriga Nacional 2005	Regional Alentejo	2005	6.7	0.27	0.31	15.7	Adega Mayor	0.036	44	179	0.9979	3.26	0.56	9.6	5
Adega Mayor Touriga Nacional 2015	Regional Alentejo	2015	8.2	0.23	0.4	1.2	Adega Mayor	0.027	36	121	0.992	3.12	0.38	10.7	6
Adega So Miguel dos Descobridores 2005	Regional Alentejo	2005	7.1	0.37	0.67	10.5	Casa Agrcola Alexandre Relvas, Lda	0.045	49	155	0.9975	3.16	0.44	8.7	5
Adegaborba.pt 2003	DOC Alentejo	2003	6.8	0.19	0.36	1.9	Adega Cooperativa de Borba, C.R.L.	0.035	30	96	0.9917	3.15	0.54	10.8	7
Adegaborba.pt 2005	DOC Alentejo	2005	8.1	0.28	0.39	1.9	Adega Cooperativa de Borba, C.R.L.	0.029	18	79	0.9923	3.23	0.52	11.8	6
Adegaborba.pt 2006	DOC Alentejo	2006	6.3	0.31	0.34	2.2	Adega Cooperativa de Borba, C.R.L.	0.045	20	77	0.9927	3.3	0.43	10.2	5
Adegaborba.pt 2007	DOC Alentejo	2007	7.1	0.37	0.67	10.5	Adega Cooperativa de Borba, C.R.L.	0.045	49	155	0.9975	3.16	0.44	8.7	5
Adegaborba.pt Reserva 2004	DOC Alentejo	2004	7.9	0.21	0.4	1.2	Adega Cooperativa de Borba, C.R.L.	0.039	38	107	0.992	3.21	0.54	10.8	6
Adegaborba.pt Reserva 2005	DOC Alentejo	2005	8.5	0.21	0.41	4.3	Adega Cooperativa de Borba, C.R.L.	0.036	24	99	0.9947	3.18	0.53	9.7	6
Aegerter Chablis Premier Cru Vieilles Vignes 2013	Frana	2013	8.1	0.2	0.4	2	Jean-Luc & Paul Aegerter	0.037	19	87	0.9921	3.12	0.54	11.2	6
Afincado Single Vineyard Malbec 2006	Argentina	2006	6.3	0.255	0.37	1.1	Bodega Terrazas de Los Andes	0.04	37	114	0.9905	3	0.39	10.9	6
Afoito Grande Reserva 2011	DOC Douro	2011	5.6	0.16	0.27	1.4	Artur Lus Vinhal Graa Guimares Serdio	0.044	53	168	0.9918	3.28	0.37	10.1	6
Aguaribay Malbec 2013	Argentina	2013	6.4	0.595	0.14	5.2	Compagne Vinicole Baron Edmond de Rothschild	0.058	15	97	0.9951	3.38	0.36	9	4
Aguaribay Malbec 2014	Argentina	2014	6.3	0.34	0.33	4.6	Compagne Vinicole Baron Edmond de Rothschild	0.034	19	80	0.9917	3.38	0.58	12	7
Air 2015	DOC Vinhos Verdes	2015	6.9	0.25	0.3	4.1	Antnio Lopes Ribeiro Wines, Lda	0.054	23	116	0.994	2.99	0.38	9.4	6
Air 2016	DOC Vinhos Verdes	2016	7.9	0.22	0.38	8	Antnio Lopes Ribeiro Wines, Lda	0.043	46	152	0.9934	3.12	0.32	11.5	7
