Name;Region;Year;Color;Castes;AlcoholPercentage;Producer;MinimunPrice;MaximumPrice;Judge;JudgeRating;Date;JudgeNotes
.Com 2010;Regional Alentejo;2010;Red;Touriga Nacional, Cabernet Sauvignon, Trincadeira e Aragonàs;14.0;Tiago Mateus Cabaáo e Cabaáo;2.0;4.0;Susana Esteban;15.5;Outubro 2012;Cor rubi intensa e nariz muito arom†tico, onde se destacam os frutos silvestres, um delicado floral e um subtil toque especiado, na boca Ç um vinho equilibrado e guloso alÇm de jovem, conta com um volume mÇdio/alto e um paladar muito frutado e ligeiramente apimentado, termina com um comprimento mediano e uma persistància interessante.
.Com Premium 2011;Regional Alentejo;2011;Red;Touriga Nacional, Trincadeira, Aragonez e outras;14.0;Tiago Mateus Cabaáo e Cabaáo;2.0;4.0;Tiago Cabaáo e Susana Esteban;15.5;Outubro 2015;Cor rubi de mÇdia concentraá∆o, o nariz evidencia agrad†veis aromas de fruta vermelha e notas florais, acompanhados por alguma mineralidade e subtis nuances de especiarias, na boca Ç um vinho equilibrado, de estrutura mÇdia e volume e taninos correctos, revelando um paladar frutado e terminando com um final de boca de comprimento mediano.
.Com Premium 2014;Regional Alentejo;2014;Red;Aragonez, Trincadeira e Touriga Nacional;14.0;Tiago Mateus Cabaáo e Cabaáo;2.0;4.0;Susana Esteban;15.0;Janeiro 2017;Apresenta uma cor rubi de tonalidade viol†cea, o nariz evidencia aromas florais e de frutos do bosque envolvidos por um ligiero toque especiado, na boca Ç um vinho correcto, de corpo mÇdio e f†cil prova, revelando um paladar frutado e ligeiramente vegetal, o final de boca termina curto.
.Com Premium 2015;Regional Alentejo;2015;White;Ant∆o Vaz, Verdelho e Viognier;13.0;Tiago Mateus Cabaáo e Cabaáo;2.0;4.0;Susana Esteban e Mariana Cavaca Pinto;15.0;Outubro 2015;Apresenta uma cor amarela l°mpida e um nariz maioritariamente citrino, alÇm de evidenciar breves apontamentos vegetais e de fruta tropical madura, na boca evicencia uma acidez agrad†vel e uma frescura bem presente, com o paladar a revelar notas limonadas e florais, o final de boca termina de uma forma mediana e ligeiramente seca.
@Batista's Cabernet Sauvignon 2009;Regional Tejo;2009;Red;Cabernet Sauvignon;14.5;Pitada Verde - Produá∆o Agr°cola, Lda;4.0;7.5;Jo∆o Pedro Batista;16.0;Julho 2012;Cor rubi de bela intensidade e nariz agradavelmente preenchido por notas florais, fruta vermelha e um delicado toque apimentado que confere alguma complexidade ao conjunto, na boca Ç um vinho equilibrado, com taninos redondos e um paladar dominado pela fruta e por delicadas sugest‰es de pimento e especiarias, o final de boca tem um comprimento mÇdio e uma persistància relativamente expressiva.
100 Hectares 2014;DOC Douro;2014;White;Viosinho, Rabigato e Gouveio;13.5;100 Hectares Sociedade Agr°cola Lda;4.0;7.5;Francisco Montenegro;15.5;Julho 2015;Apresenta uma cor amarela citrina e um nariz rico em aromas de fruta madura e breves notas florais e minerais, na boca Ç um vinho muito fresco e equilibrado, com uma acidez bem interessante e um paladar dominado pela fruta, acompanhada por diversas nuances c°tricas e vegetais, o final de boca termina com um comprimento e persistància de express∆o mÇdia.
100 Hectares Touriga Nacional 2012;DOC Douro;2012;Red;Touriga Nacional;14.0;100 Hectares Sociedade Agr°cola Lda;4.0;7.5;Francisco Montenegro;15.5;Julho 2013;Cor rubi intensa no centro e aurÇola de forte tonalidade violeta, no nariz destacam-se os aromas florais misturados com alguma fruta vermelha e delicadas notas achocolatadas, na boca Ç um vinho guloso, com taninos redondos e uma estrutura mediana, revela um paladar muito frutado e floral, com ligeiros apontamentos abaunilhados e tambÇm cacau, o final de boca tem um comprimento e uma persistància de express∆o mÇdia.
1000 Curvas Chardonnay & Alvarinho 2014;Regional Vinhos Verdes;1000;White;Chardonnay e Alvarinho;12.5;Castanheira de Santa Leoc†dia Sociedade Agr°cola, Lda;7.5;10.0;Pedro Mota;16.0;Abril 2017;Cor amarela de mÇdia intensidade e nariz muito frutado e mineral, alÇm de evidenciar uma forte componente citrina e vegetal, na boca Ç um vinho fresco e equilibrado, com uma acidez bem presente, no paladar revela-se um vinho cheio de fruta tropical e notas limonadas, muito bem secundadas por uma certa untuosidade e uma evidente mineralidade, o final de boca termina com um comprimento mÇdio e uma persistància muito interessante.
1000 Curvas Oak Chardonnay & Alvarinho 2016;Regional Vinhos Verdes;1000;White;Chardonnay e Alvarinho;12.5;Castanheira de Santa Leoc†dia Sociedade Agr°cola, Lda;10.0;12.5;Pedro Mota;15.5;Maráo 2019;Cor amarelo p†lido, apresenta um nariz muito citrino e ligeiramente floral e frutado, com subtis nuances de madeira a conferir uma certa complexidade ao conjunto, na boca Ç um vinho equilibrado, com uma acidez correcta e uma estrutura mÇdia, no paladar realce para a sua componente mais mineral que sobressai face Ös delicadas notas frutadas e limonadas, o final de boca termina com um comprimento mÇdio.
1100 Tempranillo 2005;Argentina;1100;Red;Tempranillo;13.0;;4.0;7.5;;15.5;Novembro 2006;Cor rubi e aromas a frutos silvestres bem presentes, na boca Ç suave e saboroso, o final da prova Ç persistente e comprido destacando-se alguma baunilha, advinda do est†gio em carvalho francàs de qualidade, o fumo tambÇm est† em evidància.
12 Volts 2007;Espanha;2007;Red;Cabernet Sauvignon, Callet, Fogoneu, Syrah e Merlot;14.0;4 Kilos Vin°cola, S.L.;15.0;20.0;Francesc Grimalt;16.5;Fevereiro 2014;Apresenta uma cor de forte tonalidade avermelhada e um nariz onde sobressaem os aromas de fruta vermelha e preta, bem maduras, bem como, especiarias, baunilha e ainda um delicado toque mineral e de tabaco, na boca Ç um vinho atractivo, encorpado e com um bom volume, revela um paladar complexo, onde a fruta preta e a madeira combinam com delicadas sensaá‰es minerais e uma leve sensaá∆o terrosa, o final de boca Ç algo seco e prolongado.
Van Zellers 2005;DOC Douro;2005;Red;Tinto C∆o, Tinta Barroca, Tinta Roriz, Touriga Nacional e Touriga Franca;14.0;Lemos & Van Zeller, Lda;20.0;25.0;Cristiano Van Zeller;17.0;Dezembro 2008;Este vinho apresenta uma cor rubi carregada, um nariz a revelar sugest‰es de ameixas maduras e alguma cereja, combinadas com uma certa mineralidade e fina tosta que conferem alguma complexidade ao conjunto, j† o paladar Ç volumoso e fresco, est† bem encorpado e destacam-se as delicadas notas de especiarias muito bem equilibradas com os frutos vermelhos, termina com muito boa persistància.
200 Monges Reserva 1999;Espanha;1999;Red;Tempranillo, Graciano e Mazuelo;15.0;Bodegas Vin°cola Real;25.0;50.0;Miguel µngel Rodr°guez;16.5;Maráo 2012;Apresenta uma cor granada no centro com laivos delicadamente acastanhados, o nariz revela notas de fruta em passa misturadas com algum couro, vegetal seco e tambÇm um leve aroma resinoso e terroso, na boca Ç um vinho equilibrado e redondo, ligeiramente evolu°do e onde o paladar revela notas de couro e algumas flores secas, o final de boca tem um comprimento mÇdio/longo e uma interessante frescura e persistància.
2PR Grande Reserva 2005;DOC Douro;2005;Red;Touriga Nacional, Tinto C∆o e Rufete;15.0;Duplo Pr - Serv. Enologia, Lda;25.0;50.0;Pedro Sequeira e Ant¢nio Rosas;17.5;Novembro 2008;Cor carregada e aromas profundos de frutos vermelhos e uma leve mas elegante sugest∆o floral, na boca Ç envolvente, continua muito arom†tico conta com uma bela complexidade, ligeiras notas de cafÇ e com os taninos bem presentes, o final Ç longo e persistente denotando uma grande longevidade.
4 Kilos 2012;Espanha;2012;Red;Callet e Manto Negro;13.0;4 Kilos Vin°cola, S.L.;25.0;50.0;Francesc Grimalt;17.0;Janeiro 2015;Cor vermelha de intensidade alta e nariz rico em notas minerais, especiarias e delicadamente apimentadas, misturadas com breves notas de fruta negra e um subtil toque balsÉmico, na boca Ç um vinho elegante e harmonioso, com taninos polidos e uma estrutura muito agrad†vel, revela um paladar rico em fruta e notas apimentadas, bem como breves apontamentos de barrica, terminando com um final de boca prolongado.
5 Outeiros Syrah 2013;Regional Tejo;2013;Red;Syrah;15.0;Manuel Rosa CÉndido, Lda;4.0;7.5;JosÇ CÉndido;14.5;Dezembro 2014;Apresenta uma cor intensa, de forte tonalidade viol†cea, o nariz revela delicados aromas florais e de fruta vermelha aliados a um evidente toque vegetal, na boca Ç um vinho correcto, com um paladar frutado e taninos muito redondos, o final de boca tem um comprimento curto.
Aa 2014;DOC Tejo;2014;White;Fern∆o Pires;10.0;Adega Cooperativa de Almeirim, C.R.L.;;2.0;Ant¢nio Ventura;13.5;Setembro 2015;Cor citrina muito p†lida e nariz delicado, onde a fruta Ç acompanhada por um delicado toque floral, na boca Ç um vinho suave e fresco, com uma acidez correcta e um paladar frutado, termina curto.
Aalto 2001;Espanha;2001;Red;Tempranillo;14.0;Bodegas Aalto SA;25.0;50.0;Mariano Garcia;15.5;Fevereiro 2013;Cor rubi intensa e concentrada no centro, com laivos de tonalidade granada, inicialmente o nariz faz temer o pior devido Ö sua not¢ria evoluá∆o mas aos poucos vai revelando notas resinosas, bem como um delicado toque balsÉmico e qu°mico, com a fruta negra a sentir algumas dificuldades em expressar-se, na boca Ç um vinho encorpado, com uns taninos s¢lidos e uma estrutura bem presente, embora j† evolu°do e com falta de garra, no paladar Ç um vinho seco, com a barrica a dominar um conjunto pouco frutado e demasiado especiado, o final de boca tem um comprimento mÇdio/alto.
Aalto 2011;Espanha;2011;Red;Tinto Fino;15.0;Bodegas Aalto SA;25.0;50.0;Mariano Garcia;17.5;Janeiro 2019;Apresenta uma cor rubi muito concentrada no centro e uma fina aurÇola de tonalidade granada, o nariz sugere elegantes e complexos aromas especiados muito bem acompanhados por notas de fruta vermelha e preta bem maduras, alÇm de breves sugest‰es florais, alguma tosta e ainda um subtil toque mentolado e de chocolate, na boca Ç um vinho muito encorpado e volumoso, com taninos sedosos e uma complexidade muito interessante, no paladar destaca-se a envolvància e harmonia existente entre a fruta negra e a barrica, alÇm de diversas notas apimentadas, algum cacau e tambÇm um leve apontamento mineral, o final de boca termina longo e com uma grande persistància.
Aalto 2015;Espanha;2015;Red;Tinto Fino;14.5;Bodegas Aalto SA;25.0;50.0;Mariano Garcia;17.0;Fevereiro 2018;Cor rubi intensa e muito concentrada, o nariz sugere aromas de fruta vermelha e notas florais de violetas envolvidas por sugestivas nuances de barrica e breves apontamentos especiados, fumados e de tabaco, na boca apresenta-se um vinho de grande complexidade e volume, com taninos firmes e uma amplitude fant†stica, no paladar Ç a fruta madura e as notas de barrica que dominam o conjunto, secundadas por breves sugest‰es mentoladas e minerais, o final de boca termina longo e persistente.
Abad dom Bueno 2007;Espanha;2007;Red;Menc°a;13.5;Bodega del Abad, S.L.;2.0;4.0;JosÇ Luis Sant°n V†zquez;14.0;Abril 2010;Cor rubi de mÇdia concentraá∆o e nariz composto por frutos pretos e algumas especiarias, na boca Ç um vinho f†cil, sem grande estrutura mas correcto, continua frutado e termina algo seco e de comprimento e persistància curtos.
Abastado Grande Reserva 2008;DOC Douro;2008;White;Rabigato;14.0;Gesprove - Gest. Prod. Viticola e Enol¢gica, Lda;10.0;12.5;JosÇ Pinheiro;15.5;Setembro 2011;Apresenta uma cor dourada e um nariz complexo e especiado, onde as notas fumadas e de barrica se mistuam com alguma fruta madura, pàra, e atÇ delicadas nuances de frutos secos, na boca Ç um vinho com alguma estrutura, volume mÇdio e ligeira evoluá∆o, no paladar destaca-se a fruta madura e um leve toque mineral, num fundo dominado pelas especiarias e tosta, o final tem um comprimento e persistància medianos.
Abrigada 2005;Regional Estremadura;2005;Red;Aragonez, Touriga Nacional e Cabernet Sauvignon;14.0;Quinta de Abrigada - Sociedade Agr°cola, Lda;4.0;7.5;Jo∆o Mel°cias;15.0;Maráo 2009;Cor intensa e nariz marcado pela fruta madura, algumas notas de madeira e toques de pimento vindos do Cabernet, na boca mostra alguma complexidade, uma boa ligaá∆o entre a fruta e a madeira, embora o apimento esteja sempre presente, o final Ç mÇdio/longo e agrad†vel.
Absis 2003;Espanha;2003;Red;Syrah, Cabernet Sauvignon, Merlot e Tempranillo;14.0;Caves Paräs Balta, S.A.;50.0;75.0;Marta Casas e Maria Elena Jimne;17.0;Outubro 2011;Apresenta uma cor granada de boa concentraá∆o e um nariz inicialmente complexo, onde as notas fumadas, terrosas e algo especiadas marcam o nariz, no decorrer da prova aparece a fruta, as sugest‰es apimentadas e um ligeiro toque de madeira velha e tambÇm couro, na boca Ç um vinho vigoroso e com enorme capacidade de envelhecimento, a fruta equilibra com as notas apimentadas, diversas especiarias e um toque balÉmico bem elegante, os taninos revelam-se s¢lidos, e o final de boca Ç prolongado e muito persistente.
Acrux 2001;Argentina;2001;Red;Cabernet Sauvignon e Malbec;14.0;Olivier Fournier;25.0;50.0;JosÇ Mario Spisso e Julia Halupczok;16.5;Dezembro 2012;Apresenta uma cor intensa e concentrada de tonalidade granada/avermelhada, o nariz revela aromas de fruta negra e alguma tosta, combinados com sugest‰es de couro e especiarias, num fundo agradavelmente marcado por nuances de cacau e cafÇ, na boca Ç um vinho encorpado, elegante e envolvente, com uma estrutura interessante e taninos j† redondos, no paladar revela fruta preta madura, notas de barrica e subtis apontamentos apimentados e especiados, o final de boca Ç prolongado e persistente.
Adega Cooperativa de Almeirim Cinquenten†rio 2009;DOC Tejo;2009;White;Fern∆o Pires;13.0;Adega Cooperativa de Almeirim, C.R.L.;4.0;7.5;Ant¢nio Ventura;15.5;Janeiro 2011;Apresenta uma cor citrina e um nariz fresco e equilibrado, onde os aromas de fruta tropical e madura, os citrinos e as notas minerais, formam um conjunto muito agrad†vel, na boca Ç um vinho saboroso, com relativa estrutura e um toque de madeira muito subtil mas amplamente dominado pela fruta, num fundo mineral, termina com um comprimento e persistància mÇdio/longo.
Adega Cooperativa de Borba Cabernet Sauvignon & Syrah 2004;Regional Alentejo;2004;Red;Cabernet Sauvignon e Syrah;14.0;Adega Cooperativa de Borba, C.R.L.;4.0;7.5;‡scar Gato;15.0;Outubro 2007;Aromas iniciais marcados pelos frutos silvestres rebuáado, o pimento aparece depois de forma muito leve, a boca Ç algo volumosa e o paladar intenso, de relativa complexidade e final mÇdio/longo.
Adega Cooperativa de Borba Garrafeira 2003;DOC Alentejo;2003;Red;Aragonez, Trincadeira e Alicate Bouschet;13.5;Adega Cooperativa de Borba, C.R.L.;12.5;15.0;‡scar Gato;16.0;Fevereiro 2014;Apresenta uma cor granada no centro e uma aurÇola de tonalidade atijolada, o nariz revela sugestivos aromas de fruta madura envolvidas com um delicado toque fumado e de couro, vegetal seco e notas balsÉmicas, num fundo algo terroso, na boca Ç um vinho com algum corpo, volume acima da mÇdia e um paladar ligeiramente alicorado, especiado, onde se destaca pimenta e ainda um leve toque frutado, o final de boca Ç seco e de comprimento mÇdio/alto.
Adega Cooperativa de Borba Reserva 2001;DOC Alentejo;2001;Red;Aragonez, Trincadeira, Castel∆o e Alicante Bouschet;13.0;Adega Cooperativa de Borba, C.R.L.;4.0;7.5;‡scar Gato;15.0;Dezembro 2006;Cor pouco intensa e aromas a frutos vermelhos bem presentes, no paladar Ç suave e macio, com taninos delicados e corpo definido, o final de boca Ç interessante mas com pouca garra.
Adega Cooperativa de Borba Reserva 2003;DOC Alentejo;2003;Red;Aragonez, Trincadeira, Castel∆o e Alicante Bouschet;13.5;Adega Cooperativa de Borba, C.R.L.;7.5;10.0;‡scar Gato;16.0;Julho 2008;Aromas de frutos bem maduros e alguma especiaria, boca volumosa e acidez bem interessante, ligeiras notas balsÉmicas e vegetais, num conjunto sempre marcado pela fruta e dominado pelas especiarias, tem um final persistente, sendo um claro exemplo de um cl†ssico alentejano!
Adega Cooperativa de Borba Tinta Caiada & Pinot Noir 2004;Regional Alentejo;2004;Red;Tinta Caiada e Pinot Noir;14.0;Adega Cooperativa de Borba, C.R.L.;4.0;7.5;‡scar Gato;15.5;Outubro 2007;Aromas intensos a frutos vermelhos bem maduros e alguma baunilha, o paladar Ç robusto e o volume de boca impressiona, com muita garra e vivacidade, elegante e macio, o final Ç mÇdio e de boa acidez.
Adega Cooperativa de Borba Touriga Nacional & Syrah 2005;Regional Alentejo;2005;Red;Touriga Nacional e Syrah;13.0;Adega Cooperativa de Borba, C.R.L.;4.0;7.5;‡scar Gato;16.0;Outubro 2007;Cor intensa e ligeiramente avioletada, aromas de frutos vermelhos e com um ligeiro toque floral da Touriga que lhe d† uma certa elegÉncia, paladar envolvente e complexo, de taninos maduros, est† jovem e com a madeira a predominar, tem uma boa capacidade de evoluá∆o e um final bem interessante.
Adega Cooperativa de Borba Trincadeira & Alicante Bouschet 2004;Regional Alentejo;2004;Red;Trincadeira e Alicante Bouschet;14.0;Adega Cooperativa de Borba, C.R.L.;4.0;7.5;‡scar Gato;16.0;Outubro 2007;Cor intensa e nariz cheio de frutos silvestres bem maduros, na boca Ç redondo e tem um bom volume, ainda Ç muito jovem e com grande capacidade de evoluá∆o, leves notas florais e perfumadas, o final Ç estruturado e acima da mÇdia.
Adega Cooperativa de Ponte de Lima Loureiro 2011;DOC Vinhos Verdes;2011;White;Loureiro;11.0;Adega Cooperativa de Ponte de Lima;2.0;4.0;Fernando Moura;13.0;Agosto 2012;Cor amarela citrina e nariz preenchido por delicadas sugest‰es limonadas e florais misturadas com suaves aromas de maá∆, na boca Ç um vinho correcto, f†cil  e com uma acidez muito mediana, termina com um comprimento e persistància delicados.
Adega Cooperativa de Ponte de Lima Loureiro 2015;DOC Vinhos Verdes;2015;White;Loureiro;11.0;Adega Cooperativa de Ponte de Lima;2.0;4.0;Fernando Moura e Rita Ara£jo;13.5;Julho 2016;Cor amarela citrina e nariz muito fresco, onde sobressaem as notas limonadas e um delicado aroma mais vegetal, na boca Ç um vinho f†cil, com uma acidez mediana e um paladar correcto, dominado pelas notas c°tricas, o final de boca termina algo curto.
Adega Cooperativa Ponte da Barca Grande Escolha 2016;DOC Vinhos Verdes;2016;White;Loureiro, Trajadura e Arinto;11.5;Adega Cooperativa de Ponte da Barca, CRL;4.0;7.5;JosÇ Antas Oliveira;15.0;Outubro 2017;Cor citrina algo p†lida e nariz mais floral e c°trico do que frutado, tudo muito delicado mas agrad†vel, na boca Ç um vinho correcto, onde o g†s Ç not¢rio e a sua acidez mediana, no paladar sobressai ligeiramente a sua componente limonada face Ö fruta fresca e a breves nuances florais, com o final de boca a terminar curto.
Adega Cooperativa T†zem Alfrocheiro 2002;DOC D∆o;2002;Red;Alfrocheiro;12.5;Adega Cooperativa de Vila Nova de T†zem, C.R.L.;7.5;10.0;Pedro Nuno Pereira;13.0;Novembro 2005;Frutos pretos not¢rios com a baunilha presente, final de boca demasiado curto.
Adega Cooperativa T†zem Garrafeira 2000;DOC D∆o;2000;Red;Touriga Nacional, Alfrocheiro e Jaen;12.5;Adega Cooperativa de Vila Nova de T†zem, C.R.L.;7.5;10.0;Pedro Nuno Pereira;14.5;Novembro 2005;Vinho encorpado com reflexos do tempo em garrafa, frutos bem maduros e final de boca persistente.
Adega Cooperativa T†zem Jaen 2001;DOC D∆o;2001;Red;Jaen;12.5;Adega Cooperativa de Vila Nova de T†zem, C.R.L.;4.0;7.5;Pedro Nuno Pereira;13.5;Setembro 2005;Frutos maduros com notas evidentes da madeira de carvalho, o seu final Ç equilibrado mas nota-se alguma falta de garra.
Adega Cooperativa T†zem Tinta Roriz 2002;DOC D∆o;2002;Red;Tinta Roriz;13.5;Adega Cooperativa de Vila Nova de T†zem, C.R.L.;7.5;10.0;Pedro Nuno Pereira;15.5;Setembro 2005;Notas de frutos e de baunilha bem integradas, final longo e com saboroso paladar.
Adega Cooperativa T†zem Touriga Nacional 2002;DOC D∆o;2002;Red;Touriga Nacional;12.5;Adega Cooperativa de Vila Nova de T†zem, C.R.L.;7.5;10.0;Pedro Nuno Pereira;14.0;Outubro 2005;Frutos silvestres muito bem no aroma, madeira bem presente mas no final a mÇdia boca Ç pouco.
Adega da Vila 2010;DOC Alentejo;2010;White;Arinto e Ant∆o Vaz;12.5;Enoport - Produá∆o de Bebidas, S.A.;2.0;4.0;Osvaldo Amado;14.5;Abril 2012;Cor citrina e nariz medianamente preenchido por frescos aromas c°tricos, acompanhados por delicadas sugest‰es de fruta, na boca Ç um vinho f†cil, correcto e equilibrado, o paladar confirma os aromas de citrinos e fruta e o final de boca tem um comprimento e uma persistància curta/mÇdia.
Adega da Vila 2010;DOC Alentejo;2010;Red;Aragonez, Trincadeira e Alicante Bouschet;12.5;Enoport - Produá∆o de Bebidas, S.A.;2.0;4.0;Osvaldo Amado;14.0;Abril 2012;Cor rubi de mÇdia concentraá∆o e nariz preenchido por aromas de fruta vermelha misturados com um leve toque floral e especiado, na boca Ç um vinho correcto, leve no corpo e taninos simples, a fruta continua presente no paladar e o final de boca tem um comprimento curto, tal como a persistància evidenciada.
Adega de Borba 2010;DOC Alentejo;2010;White;Ant∆o Vaz, Roupeiro e Tamarez;13.0;Adega Cooperativa de Borba, C.R.L.;2.0;4.0;‡scar Gato;14.5;Junho 2011;Cor palha muito leve e nariz fresco e equilibrado, medianamente preenchido por notas de citrinos e algum floral, na boca Ç um vinho correcto e f†cil, onde o paladar revela um ligeiro toque mineral, num fundo dominado pelos citrinos e uma delicada sensaá∆o de fruta madura tropical, o final Ç curto de comprimento e mediano de persistància.
Adega de Borba 2011;DOC Alentejo;2011;Red;Aragonez, Trincadeira e Alicante Bouschet;14.0;Adega Cooperativa de Borba, C.R.L.;2.0;4.0;‡scar Gato;13.5;Maio 2013;Cor granada de mÇdia concentraá∆o e nariz simples e fresco, onde as notas de fruta vermelha e um ligeiro toque vegetal, fundem-se num conjunto agrad†vel, na boca Ç um vinho leve, com taninos suaves e uma acidez correcta, revela um paladar frutado e um final de boca curto.
Adega de Borba 2012;DOC Alentejo;2012;White;Ant∆o Vaz, Roupeiro e Arinto;14.0;Adega Cooperativa de Borba, C.R.L.;2.0;4.0;‡scar Gato;14.0;Maio 2013;Cor p†lida e nariz suavemente preenchido por notas de citrinos e por um leve toque vegetal, na boca Ç um vinho f†cil e correcto, com uma acidez muito mediana e um paladar onde as notas c°tricas e alguma fruta madura, formam um conjunto relativamente fresco, o final de boca Ç curto e algo discreto.
